#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction	anno	gene
chr10	71232978	71233198	15286563	15286568	Adipocytes	chr10:71232978-71233198	5CpGs	220bp	0.331	0.895	0.564	0.285	0.145	1.57e-17	U	intron	TSPAN15
chr19	57125150	57125481	25042639	25042645	Adipocytes	chr19:57125150-57125481	6CpGs	331bp	0.304	0.901	0.598	0.302	0.13	5.14e-24	U	intron	ZNF71
chr1	110426398	110427130	1203983	1203990	Adipocytes	chr1:110426398-110427130	7CpGs	732bp	0.272	0.887	0.615	0.287	0.127	2.52e-15	U	Intergenic	CSF1
chr19	5714972	5715186	24199686	24199692	Adipocytes	chr19:5714972-5715186	6CpGs	214bp	0.315	0.884	0.568	0.22	0.123	1.46e-16	U	intron	LONP1
chr11	75537042	75537264	16761615	16761623	Adipocytes	chr11:75537042-75537264	8CpGs	222bp	0.295	0.891	0.597	0.249	0.117	8.24e-19	U	intron	UVRAG
chr6	155357994	155358380	10333318	10333326	Adipocytes	chr6:155357994-155358380	8CpGs	386bp	0.284	0.877	0.593	0.244	0.112	2.32e-17	U	Intergenic	TIAM2
chr11	27502491	27502972	16266846	16266856	Adipocytes	chr11:27502491-27502972	10CpGs	481bp	0.264	0.887	0.622	0.289	0.101	3.05e-23	U	Intergenic	LGR4
chr12	109595371	109595609	18191990	18191997	Adipocytes	chr12:109595371-109595609	7CpGs	238bp	0.276	0.862	0.586	0.28	0.0935	5.83e-18	U	intron	ACACB
chr20	11974567	11974955	25194089	25194094	Adipocytes	chr20:11974567-11974955	5CpGs	388bp	0.386	0.88	0.494	0.152	0.0919	2.87e-12	U	Intergenic	BTBD3
chr9	101673727	101674131	14122429	14122436	Adipocytes	chr9:101673727-101674131	7CpGs	404bp	0.39	0.896	0.506	0.207	0.077	2.83e-18	U	Intergenic	COL15A1
chr11	93266034	93266361	16889457	16889462	Adipocytes	chr11:93266034-93266361	5CpGs	327bp	0.335	0.844	0.508	0.143	0.0682	2.64e-12	U	intron	C11orf75
chr7	134849833	134850163	11801018	11801023	Adipocytes	chr7:134849833-134850163	5CpGs	330bp	0.164	0.833	0.669	0.372	0.0622	2.29e-19	U	TTS	C7orf49
