chr	start	end	startCpG	endCpG	target	name	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
chr1	910433	910476	11594	11600	Skeletal-Musc	chr1:910433-910476	U	0.105	0.013	0.016	0.0	0.01	0.016	0.0	0.018	0.0	0.018	0.034	0.0	0.203	0.0	0.0	0.009	0.054	0.0	0.008	0.09	0.0	0.051	0.019	0.041	0.0	0.011	0.021	0.0	0.0	0.0	0.0	0.0	0.513	0.024	0.029	0.0
chr1	1491550	1491951	35443	35457	Thyroid-Ep	chr1:1491550-1491951	U	0.004	0.023	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.013	0.006	0.0	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.887
chr1	1595935	1596277	39407	39426	Pancreas-Acinar	chr1:1595935-1596277	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0
chr1	2315599	2316184	62813	62833	Neuron	chr1:2315599-2316184	U	0.004	0.0	0.014	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.01	0.0	0.066	0.005	0.0	0.001	0.0	0.0	0.0	0.007	0.003	0.0	0.726	0.043	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.004	0.0
chr1	6010708	6010978	132009	132015	Epid-Kerat	chr1:6010708-6010978	U	0.043	0.0	0.062	0.0	0.0	0.048	0.005	0.0	0.0	0.0	0.0	1.0	0.108	0.0	0.0	0.027	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	8051177	8051743	171797	171810	Lung-Ep-Bron	chr1:8051177-8051743	U	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.035	0.0	0.0	0.002	0.0	0.0	0.903	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.114
chr1	9614272	9614521	198193	198202	Liver-Hep	chr1:9614272-9614521	U	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.074	0.0	0.0	0.002	0.0	0.0	0.003	0.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0
chr1	11017503	11017566	225484	225490	Pancreas-Beta	chr1:11017503-11017566	U	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.102	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.123	0.008	0.0	0.0	0.012	0.989	0.157	0.0	0.0	0.0	0.0	0.0	0.015	0.0
chr1	11906187	11907270	241109	241137	Heart-Cardio	chr1:11906187-11907270	U	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.001	0.011	0.028	0.0	0.001	0.003	0.947	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.008	0.0	0.0	0.006	0.0	0.056	0.0	0.0	0.0	0.009	0.0
chr1	15281037	15281105	282827	282832	Breast-Luminal-Ep	chr1:15281037-15281105	U	0.0	0.008	0.009	0.0	0.003	0.044	0.052	0.111	0.966	0.0	0.012	0.0	0.135	0.0	0.0	0.124	0.009	0.009	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0
