#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr6	150799734	150799940	10582030	10582037	Adipocytes	chr6:150799734-150799940	7CpGs	206bp	0.321	0.903	0.582	0.361	0.31	4.02e-39	U
chr3	53223941	53224385	5063628	5063636	Adipocytes	chr3:53223941-53224385	8CpGs	444bp	0.375	0.9	0.525	0.263	0.18	2.36e-29	U
chr19	56613782	56614113	25948519	25948525	Adipocytes	chr19:56613782-56614113	6CpGs	331bp	0.313	0.892	0.579	0.317	0.164	6.99e-25	U
chr11	27480944	27481099	16711375	16711381	Adipocytes	chr11:27480944-27481099	6CpGs	155bp	0.305	0.91	0.605	0.354	0.137	6.03e-31	U
chr6	155036860	155037246	10622879	10622887	Adipocytes	chr6:155036860-155037246	8CpGs	386bp	0.32	0.873	0.554	0.228	0.127	1.28e-17	U
chr7	5584214	5584461	10957899	10957904	Adipocytes	chr7:5584214-5584461	5CpGs	247bp	0.212	0.824	0.611	0.218	0.123	7.63e-16	U
chr1	109884018	109884508	1203891	1203897	Adipocytes	chr1:109884018-109884508	6CpGs	490bp	0.304	0.89	0.586	0.298	0.122	1.76e-18	U
chr10	69473222	69473442	15724163	15724168	Adipocytes	chr10:69473222-69473442	5CpGs	220bp	0.357	0.887	0.53	0.269	0.116	8.79e-17	U
chr19	5714961	5715175	25057324	25057330	Adipocytes	chr19:5714961-5715175	6CpGs	214bp	0.328	0.874	0.545	0.246	0.111	2.56e-16	U
chr15	73696447	73696623	21400036	21400041	Adipocytes	chr15:73696447-73696623	5CpGs	176bp	0.356	0.867	0.511	0.146	0.0713	1.17e-10	U
chr11	75825997	75826219	17248352	17248360	Adipocytes	chr11:75825997-75826219	8CpGs	222bp	0.314	0.877	0.563	0.243	0.0707	4e-19	U
chr17	82066220	82066282	24085652	24085657	Adipocytes	chr17:82066220-82066282	5CpGs	62bp	0.349	0.845	0.496	0.152	0.0579	2.78e-12	U
chr7	135165081	135165411	12147931	12147936	Adipocytes	chr7:135165081-135165411	5CpGs	330bp	0.183	0.828	0.645	0.362	0.0506	1.1e-18	U
chr11	70839386	70839498	17186902	17186907	Adipocytes	chr11:70839386-70839498	5CpGs	112bp	0.33	0.83	0.5	0.177	0.0424	9.71e-09	U
chr7	95607776	95608136	11795014	11795019	Adipocytes	chr7:95607776-95608136	5CpGs	360bp	0.326	0.841	0.515	0.161	0.0372	2.67e-10	U
chr11	62537015	62537055	17023645	17023650	Adipocytes	chr11:62537015-62537055	5CpGs	40bp	0.273	0.897	0.624	0.177	0.0341	1.96e-16	U
chr17	49615598	49616098	23631604	23631609	Adipocytes	chr17:49615598-49616098	5CpGs	500bp	0.298	0.852	0.554	0.284	0.0189	3.19e-21	U
chr19	4507741	4507866	25026336	25026341	Adipocytes	chr19:4507741-4507866	5CpGs	125bp	0.249	0.852	0.603	0.243	0.0106	1.24e-16	U
chr9	109182622	109182784	14602173	14602179	Adipocytes	chr9:109182622-109182784	6CpGs	162bp	0.358	0.826	0.468	0.109	0.00596	6.99e-09	U
chr9	121300805	121300960	14707851	14707856	Adipocytes	chr9:121300805-121300960	5CpGs	155bp	0.376	0.886	0.51	0.199	0.000564	1.49e-15	U
chr17	43645548	43645692	23537114	23537119	Adipocytes	chr17:43645548-43645692	5CpGs	144bp	0.362	0.807	0.445	0.145	-0.000179	1.71e-09	U
chr6	148381155	148381687	10554250	10554256	Adipocytes	chr6:148381155-148381687	6CpGs	532bp	0.361	0.85	0.489	0.116	-0.00318	3.37e-10	U
chr12	115245060	115245265	18799736	18799741	Adipocytes	chr12:115245060-115245265	5CpGs	205bp	0.291	0.862	0.57	0.192	-0.00556	8.43e-14	U
chr19	2221870	2222055	24956777	24956786	Adipocytes	chr19:2221870-2222055	9CpGs	185bp	0.329	0.906	0.578	0.217	-0.00934	6.02e-18	U
chr10	70131346	70131695	15732022	15732028	Adipocytes	chr10:70131346-70131695	6CpGs	349bp	0.286	0.853	0.567	0.241	-0.0143	2.5e-12	U
chr11	12818514	12819260	16603064	16603069	Adipocytes	chr11:12818514-12819260	5CpGs	746bp	0.268	0.871	0.602	0.273	-0.0153	1.76e-14	U
chr5	178869634	178869850	9261483	9261490	Adipocytes	chr5:178869634-178869850	7CpGs	216bp	0.369	0.839	0.47	0.068	-0.0214	2.71e-09	U
chr12	124626717	124627115	18941290	18941297	Adipocytes	chr12:124626717-124627115	7CpGs	398bp	0.358	0.885	0.527	0.163	-0.0229	5.83e-12	U
chr1	12499442	12499960	253341	253352	Adipocytes	chr1:12499442-12499960	11CpGs	518bp	0.246	0.904	0.658	0.41	-0.0335	2.39e-21	U
chr12	116650688	116650967	18814070	18814075	Adipocytes	chr12:116650688-116650967	5CpGs	279bp	0.296	0.84	0.544	0.177	-0.0372	5.2e-12	U
chr8	121764235	121764669	13511231	13511237	Adipocytes	chr8:121764235-121764669	6CpGs	434bp	0.277	0.806	0.529	0.156	-0.0472	1.22e-09	U
chr19	47716733	47716919	25770493	25770507	Adipocytes	chr19:47716733-47716919	14CpGs	186bp	0.29	0.86	0.569	0.169	-0.0523	1.15e-15	U
chr10	101611393	101611543	16041189	16041194	Adipocytes	chr10:101611393-101611543	5CpGs	150bp	0.216	0.819	0.604	0.199	-0.0526	2.89e-13	U
