chr	start	end	startCpG	endCpG	target	name	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
chr1	1262136	1262432	24569	24584	Eryth-prog	chr1:1262136-1262432	U	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.027	0.0	0.004	0.013	0.0	0.001	0.013	0.946	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	2384160	2384745	63940	63960	Neuron	chr1:2384160-2384745	U	0.0	0.0	0.014	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.011	0.0	0.009	0.0	0.062	0.005	0.0	0.0	0.001	0.006	0.004	0.0	0.008	0.0	0.0	0.705	0.035	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.003	0.0
chr1	5950648	5950918	133709	133715	Epid-Kerat	chr1:5950648-5950918	U	0.036	0.0	0.038	0.0	0.0	0.057	0.004	0.048	0.0	0.0	0.0	0.083	0.0	0.0	0.941	0.111	0.0	0.0	0.0	0.04	0.0	0.048	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.022	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	5959258	5959335	133878	133884	Pancreas-Delta	chr1:5959258-5959335	U	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.048	0.0	0.0	0.005	0.0	0.0	0.0	0.003	0.255	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.011	0.874	0.008	0.0	0.0	0.0	0.0	0.0	0.0
chr1	7991117	7991683	173499	173512	Lung-Ep-Bron	chr1:7991117-7991683	U	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.005	0.0	0.0	0.0	0.002	0.0	0.09	0.005	0.0	0.0	0.032	0.0	0.0	0.002	0.0	0.006	0.905	0.064	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121
chr1	9554214	9554463	199896	199905	Liver-Hep	chr1:9554214-9554463	U	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.068	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0
chr1	10947269	10947539	226986	226992	Pancreas-Beta	chr1:10947269-10947539	U	0.009	0.0	0.011	0.011	0.003	0.0	0.004	0.0	0.0	0.0	0.011	0.014	0.0	0.002	0.0	0.229	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.023	0.01	0.962	0.11	0.0	0.0	0.0	0.296	0.0	0.052	0.0
chr1	11846130	11846567	242812	242825	Heart-Cardio	chr1:11846130-11846567	U	0.005	0.009	0.008	0.005	0.004	0.0	0.004	0.025	0.005	0.006	0.015	0.007	0.0	0.006	0.0	0.027	0.007	0.0	0.004	0.007	0.913	0.01	0.0	0.002	0.01	0.005	0.019	0.0	0.005	0.004	0.0	0.006	0.007	0.0	0.0	0.0	0.009	0.01	0.007	0.006
chr1	14954541	14954609	282749	282754	Breast-Luminal-Ep	chr1:14954541-14954609	U	0.0	0.007	0.007	0.0	0.003	0.056	0.048	0.0	0.107	0.969	0.0	0.095	0.143	0.015	0.0	0.126	0.0	0.0	0.0	0.122	0.008	0.008	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0
chr1	20916695	20916823	376835	376841	Oligodend	chr1:20916695-20916823	U	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.075	0.924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0
chr1	21246927	21247101	380587	380593	Breast-Luminal-Ep	chr1:21246927-21247101	U	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.221	0.966	0.054	0.0	0.0	0.002	0.5	0.026	0.0	0.0	0.0	0.124	0.0	0.012	0.276	0.0	0.006	0.009	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0
chr1	22191440	22192157	397546	397553	Smooth-Musc	chr1:22191440-22192157	U	0.333	0.0	0.0	0.0	0.069	0.0	0.125	0.0	0.059	0.0	0.0	0.0	0.667	0.151	0.0	0.0	0.0	0.0	0.0	0.0	0.167	0.545	0.0	0.333	0.0	0.0	0.062	0.0	0.0	0.071	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.444	0.0
chr1	26295324	26295681	460229	460242	Megakaryocytes	chr1:26295324-26295681	U	0.0	0.004	0.0	0.058	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.002	0.0	0.095	0.0	0.0	0.001	0.001	0.0	0.005	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.8	0.0	0.018	0.0	0.0	0.0
chr1	31345754	31346768	534117	534126	Eryth-prog	chr1:31345754-31346768	U	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.992	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.028	0.0
chr1	32252846	32253137	547929	547935	Blood-T	chr1:32252846-32253137	U	0.03	0.0	0.096	0.0	0.034	0.214	0.99	0.0	0.0	0.0	0.02	0.109	0.0	0.007	0.0	0.24	0.0	0.0	0.012	0.007	0.0	0.028	0.0	0.007	0.012	0.0	0.0	0.0	0.024	0.039	0.0	0.016	0.0	0.012	0.0	0.009	0.0	0.02	0.05	0.016
chr1	32254316	32255187	547957	547972	Blood-T	chr1:32254316-32255187	U	0.019	0.01	0.064	0.01	0.041	0.167	0.864	0.014	0.0	0.0	0.007	0.05	0.0	0.004	0.034	0.102	0.0	0.0	0.001	0.014	0.008	0.004	0.0	0.008	0.0	0.0	0.0	0.005	0.005	0.008	0.005	0.0	0.014	0.005	0.0	0.0	0.014	0.003	0.003	0.005
